label,AUROC,AUROC_95CI,Precision,Recall,F1,Threshold,Pair_Type
llama-large × llama-small,0.7646,"[0.746, 0.784]",0.643,1.0,0.782,-0.0,within-family
llama-large × llama4-scout,0.7746,"[0.755, 0.795]",0.643,1.0,0.782,-0.0,within-family
llama-large × gpt-oss-large,0.7538,"[0.736, 0.772]",0.666,0.957,0.785,0.0,cross-family
llama-large × qwen,0.7434,"[0.727, 0.759]",0.667,0.966,0.789,0.0,cross-family
llama-large × kimi,0.6992,"[0.680, 0.717]",0.643,1.0,0.782,-0.0,cross-family
gpt-oss-large × qwen,0.7393,"[0.721, 0.758]",0.643,1.0,0.782,-0.0,cross-family
gpt-oss-large × kimi,0.7292,"[0.710, 0.748]",0.643,1.0,0.782,-0.0,cross-family
qwen × kimi,0.7061,"[0.688, 0.722]",0.643,1.0,0.782,-0.0,cross-family
llama-large × gemma,0.6586,"[0.638, 0.680]",0.643,1.0,0.782,-0.0,cross-family
llama-large × mistral,0.7038,"[0.684, 0.722]",0.657,0.968,0.783,0.0,cross-family
llama-large × deepseek-r1,0.5411,"[0.514, 0.569]",0.643,0.999,0.782,0.185,cross-family
gpt-oss-large × gemma,0.7171,"[0.696, 0.739]",0.643,1.0,0.782,-0.0,cross-family
gpt-oss-large × mistral,0.7421,"[0.723, 0.761]",0.643,1.0,0.782,-0.0,cross-family
gpt-oss-large × deepseek-r1,0.4215,"[0.396, 0.450]",0.643,1.0,0.783,0.286,cross-family
qwen × gemma,0.659,"[0.639, 0.680]",0.644,0.998,0.783,0.0,cross-family
qwen × mistral,0.7077,"[0.687, 0.726]",0.643,1.0,0.782,-0.0,cross-family
qwen × deepseek-r1,0.5424,"[0.515, 0.570]",0.643,1.0,0.782,0.062,cross-family
kimi × gemma,0.6433,"[0.621, 0.665]",0.643,0.999,0.783,0.0,cross-family
kimi × mistral,0.6849,"[0.666, 0.705]",0.643,1.0,0.782,-0.0,cross-family
kimi × deepseek-r1,0.5356,"[0.509, 0.562]",0.643,1.0,0.782,0.114,cross-family
gemma × mistral,0.6881,"[0.669, 0.708]",0.651,0.983,0.783,0.0,cross-family
gemma × deepseek-r1,0.5454,"[0.519, 0.572]",0.643,1.0,0.782,0.29,cross-family
mistral × deepseek-r1,0.5178,"[0.491, 0.544]",0.643,1.0,0.782,0.113,cross-family
Full DES (9 models),0.9613,"[0.952, 0.969]",0.937,0.967,0.952,0.204,all-models
